,no_neurons,electrode,correlation_coeff,inh_type,exc_type
211,10,4,-0.009980629952813673,LTS,CH
212,10,5,0.010002996135392767,LTS,CH
213,10,6,-0.029157040682873586,LTS,CH
214,10,7,-0.0367918695965802,LTS,CH
215,10,8,-0.000133579597328929,LTS,CH
216,10,9,-0.03207093035140567,LTS,CH
217,10,10,-0.016510983126489298,LTS,CH
218,10,11,0.006544212038051467,LTS,CH
219,10,12,-0.0014473991259399907,LTS,CH
220,10,13,-0.02696372130916013,LTS,CH
221,10,14,-0.01222818702283855,LTS,CH
222,10,15,-0.008608061744291387,LTS,CH
223,10,16,-0.0004559585635241785,LTS,CH
224,10,17,-0.009326091408114858,LTS,CH
225,10,18,0.010009991767909144,LTS,CH
226,10,19,-0.023605703559953544,LTS,CH
227,10,20,-0.012683155878257057,LTS,CH
228,10,21,0.005985373574403576,LTS,CH
229,10,22,0.02074421157151167,LTS,CH
230,100,0,0.004741684008850325,LTS,CH
231,100,1,-0.03215475453947227,LTS,CH
232,100,2,-0.02330151051180882,LTS,CH
233,100,3,-0.025539618852336923,LTS,CH
234,100,4,-0.006156862234911584,LTS,CH
235,100,5,-0.02289650880136336,LTS,CH
236,100,6,-0.03183850091286391,LTS,CH
237,100,7,-0.046944616353394426,LTS,CH
238,100,8,0.006532693074860872,LTS,CH
239,100,9,-0.038350232699937224,LTS,CH
240,100,10,-0.0138094628113003,LTS,CH
241,100,11,0.02189281364534778,LTS,CH
242,100,12,0.004883499560788266,LTS,CH
243,100,13,-0.014403591490943403,LTS,CH
244,100,14,-0.005369901961088763,LTS,CH
245,100,15,-0.006782814186828514,LTS,CH
246,100,16,-0.0008485521544693076,LTS,CH
247,100,17,-0.003967538341158241,LTS,CH
248,100,18,0.00497761375816512,LTS,CH
249,100,19,-0.018133674252481313,LTS,CH
250,100,20,-0.02317825714809639,LTS,CH
251,100,21,-0.008138757674729435,LTS,CH
252,100,22,0.017316815339574736,LTS,CH
253,1000,0,0.04588521029936869,LTS,CH
254,1000,1,-0.03969992956189408,LTS,CH
255,1000,2,-0.029206370430084016,LTS,CH
256,1000,3,-0.029192797193780717,LTS,CH
257,1000,4,-0.012684666463901139,LTS,CH
258,1000,5,-0.05085909944137405,LTS,CH
259,1000,6,-0.029489848876644933,LTS,CH
260,1000,7,-0.05342524592093098,LTS,CH
261,1000,8,-0.00849635404878698,LTS,CH
262,1000,9,-0.05377581316327796,LTS,CH
263,1000,10,-0.03355726981174529,LTS,CH
264,1000,11,0.02897402399821567,LTS,CH
265,1000,12,-0.00417477615806844,LTS,CH
266,1000,13,-0.016102190603510244,LTS,CH
267,1000,14,-0.01461425639210786,LTS,CH
268,1000,15,-0.015246652901846099,LTS,CH
269,1000,16,-0.008705277949911328,LTS,CH
270,1000,17,-0.009138305483381957,LTS,CH
271,1000,18,9.841577248422677e-05,LTS,CH
272,1000,19,-0.018322656920756977,LTS,CH
273,1000,20,-0.038595089171862815,LTS,CH
274,1000,21,-0.020605297644179534,LTS,CH
275,1000,22,0.012864916311196883,LTS,CH
276,10,0,-0.06252899217178687,RS,FS
277,10,1,-0.039767635995970434,RS,FS
278,10,2,-0.0351522514992077,RS,FS
279,10,3,-0.041370816533512406,RS,FS
280,10,4,-0.015471148304548134,RS,FS
281,10,5,0.007634262685932654,RS,FS
282,10,6,-0.029779235629482415,RS,FS
283,10,7,-0.03557726567348208,RS,FS
284,10,8,-0.004670050329325219,RS,FS
285,10,9,-0.03479063047501067,RS,FS
286,10,10,-0.018033337974745572,RS,FS
287,10,11,-0.0020166221020183716,RS,FS
288,10,12,-0.0013482469703612755,RS,FS
289,10,13,-0.03135830009424453,RS,FS
290,10,14,-0.01850215464802031,RS,FS
291,10,15,-0.012695211311892916,RS,FS
